CustomerId,CustomerName,City,CountryName,Region,TotalQuantity,DistinctOrders
71,Nicholas Craig,Zwettl-Niederösterreich,Papua New Guinea,OCEANIA,1056,42
35,Jameson Glover,Belgaum,N. Mariana Islands,OCEANIA,970,38
396,Gabriel Cabrera,Labico,Burundi,SUB-SAHARAN AFRICA,930,42
236,Allistair Warner,Marcq-en-Baroeul,Kenya,SUB-SAHARAN AFRICA,929,43
291,Demetrius Heath,Trochu,Italy,WESTERN EUROPE,928,44
181,Peter Diaz,Camrose,Mexico,LATIN AMER. & CARIB,910,38
274,Timothy Medina,Essex,Saint Helena,SUB-SAHARAN AFRICA,890,37
362,Cadman Whitley,Ambresin,San Marino,WESTERN EUROPE,889,41
334,Joshua Kinney,Poggio Berni,Yemen,NEAR EAST,878,36
249,Herrod Brennan,Jasper,Jersey,WESTERN EUROPE,834,35
7,Cain Schroeder,Göppingen,South Africa,SUB-SAHARAN AFRICA,832,37
184,Sylvester Gonzalez,Montaldo Bormida,"Bahamas, The",LATIN AMER. & CARIB,829,37
397,Upton Avila,Fort Laird,Solomon Islands,OCEANIA,829,42
256,Palmer David,Lillois-Witterz_e,China,ASIA (EX. NEAR EAST),823,34
158,Marshall Hunt,Seosan,Jordan,NEAR EAST,817,31
378,Grant Lott,Nives,Belarus,C.W. OF IND. STATES,815,37
36,Eric Dillard,Sprimont,Palau,OCEANIA,806,29
112,Bruno Cardenas,Penrith,United States,NORTHERN AMERICA,804,36
125,Vladimir Hopper,Bursa,Taiwan,ASIA (EX. NEAR EAST),800,28
358,Amery Hanson,Attert,Kenya,SUB-SAHARAN AFRICA,792,37
296,Donovan Singleton,Midway,Sao Tome & Principe,SUB-SAHARAN AFRICA,791,36
330,Seth Petty,Yorkton,Equatorial Guinea,SUB-SAHARAN AFRICA,782,34
215,Asher Mooney,Monte San Pietrangeli,Austria,WESTERN EUROPE,781,36
135,Flynn Blevins,Khammam,Norway,WESTERN EUROPE,778,32
19,Zachery Kerr,Kufstein,Armenia,C.W. OF IND. STATES,775,35
106,Paul Kent,Maasmechelen,Saint Vincent and the Grenadines,LATIN AMER. & CARIB,753,34
313,Ali Jackson,Austin,Venezuela,LATIN AMER. & CARIB,753,32
15,Alden Hawkins,Buckingham,Guadeloupe,LATIN AMER. & CARIB,752,39
155,Ivor Frost,Cama�ari,Equatorial Guinea,SUB-SAHARAN AFRICA,752,37
162,Allen Doyle,Chestermere,Belgium,WESTERN EUROPE,750,28
233,Rafael Wyatt,Bonn,Saint Kitts & Nevis,LATIN AMER. & CARIB,748,39
115,Colorado Lyons,Buggenhout,Benin,SUB-SAHARAN AFRICA,746,35
243,Quentin Harvey,Maip�,"Congo, Repub. of the",SUB-SAHARAN AFRICA,735,31
261,Wang Keller,Rocca Santo Stefano,Jersey,WESTERN EUROPE,735,30
368,Fuller Ball,Pocheon,Netherlands,WESTERN EUROPE,734,35
108,Donovan Figueroa,Woodlands County,Palau,OCEANIA,730,32
1,Jason Orr,Kilsyth,Honduras,LATIN AMER. & CARIB,724,31
324,Adrian Kerr,Sars-la-Buissi�re,Bulgaria,EASTERN EUROPE,723,27
319,Reese Richards,Taldom,Georgia,C.W. OF IND. STATES,722,29
42,Nathan Richards,Bostaniçi,Belize,LATIN AMER. & CARIB,721,36
230,Lucas Collins,Brussegem,Trinidad & Tobago,LATIN AMER. & CARIB,719,33
101,Clinton Roberts,Fabro,Sierra Leone,SUB-SAHARAN AFRICA,718,30
97,Caleb Rowland,Oromocto,Belgium,WESTERN EUROPE,716,31
51,Salvador Gregory,Mold,Haiti,LATIN AMER. & CARIB,716,31
343,Merrill Wooten,Queenstown,Suriname,LATIN AMER. & CARIB,709,24
298,Lucius Lawson,Mildura,Malta,WESTERN EUROPE,708,30
287,Kaseem Gibbs,Valleyview,Guatemala,LATIN AMER. & CARIB,700,32
47,Jelani Mccormick,Skövde,Tunisia,NORTHERN AFRICA,700,32
284,Caldwell Castillo,Fontanellato,Lebanon,NEAR EAST,698,31
111,Aladdin Vega,Fresno,Saint Lucia,LATIN AMER. & CARIB,685,30
18,Kieran Guerrero,Kirkland,Niger,SUB-SAHARAN AFRICA,685,32
265,Emmanuel Bowers,Sacramento,Serbia,EASTERN EUROPE,684,33
380,Omar Maldonado,Braives,Belgium,WESTERN EUROPE,683,30
166,Ishmael Torres,Pietraroja,Germany,WESTERN EUROPE,682,25
318,Jameson Rowe,Nemi,Libya,NORTHERN AFRICA,681,34
314,Jelani Cooke,Schwedt,Anguilla,LATIN AMER. & CARIB,678,28
52,Nero Ferguson,Berceto,Panama,LATIN AMER. & CARIB,678,26
247,Josiah Head,Pak Pattan,Suriname,LATIN AMER. & CARIB,678,34
189,Harper Raymond,Pietragalla,Macau,ASIA (EX. NEAR EAST),677,31
267,Aaron Barry,Masullas,"Korea, South",ASIA (EX. NEAR EAST),673,27
13,Palmer Ashley,Antibes,Chile,LATIN AMER. & CARIB,672,34
132,Reese Macdonald,Sloten,Azerbaijan,C.W. OF IND. STATES,671,32
246,Ciaran Oneill,Dolgellau,Madagascar,SUB-SAHARAN AFRICA,670,34
160,Arden Watson,Lansing,New Caledonia,OCEANIA,670,31
139,Josiah Mayer,Aosta,Belarus,C.W. OF IND. STATES,669,28
8,Cruz Gill,Morinville,Sweden,WESTERN EUROPE,667,31
295,Slade Myers,Machelen,Madagascar,SUB-SAHARAN AFRICA,664,28
203,Ferris Hardy,Westmalle,Yemen,NEAR EAST,664,31
285,Hiram Acevedo,Naninne,Venezuela,LATIN AMER. & CARIB,663,30
308,Tanek Higgins,Trollh�ttan,New Zealand,OCEANIA,663,26
60,Aristotle Gross,Berbroek,Slovakia,EASTERN EUROPE,662,35
50,Jeremy Rowland,San Rafael,Canada,NORTHERN AMERICA,658,30
321,Oren Zamora,Zaria,Nicaragua,LATIN AMER. & CARIB,658,28
103,Malachi Phillips,Neuss,Spain,WESTERN EUROPE,652,34
370,Keane Rich,Barrie,Kyrgyzstan,C.W. OF IND. STATES,652,25
21,Mohammad Kane,Raigarh,Uruguay,LATIN AMER. & CARIB,651,26
128,Warren Mcgee,R�o Bueno,Anguilla,LATIN AMER. & CARIB,651,23
323,Tyler Odonnell,Wieze,Burkina Faso,SUB-SAHARAN AFRICA,651,31
207,Caesar Gibson,Oldenburg,Morocco,NORTHERN AFRICA,650,30
187,Emmanuel Sosa,Skardu,China,ASIA (EX. NEAR EAST),649,28
117,August Ramirez,Pessac,Saint Vincent and the Grenadines,LATIN AMER. & CARIB,649,28
351,Burton Key,Aubagne,Papua New Guinea,OCEANIA,648,24
305,Hu Pitts,Birmingham,Nauru,OCEANIA,647,25
81,Chancellor Bradford,Vandoeuvre-lès-Nancy,Malaysia,ASIA (EX. NEAR EAST),647,40
152,Cooper Rowland,Pettoranello del Molise,Ukraine,C.W. OF IND. STATES,645,29
269,Ezra Savage,Santa Marina,Maldives,ASIA (EX. NEAR EAST),644,31
140,Branden Mullen,Trento,Philippines,ASIA (EX. NEAR EAST),644,24
242,Herrod Moore,Gentbrugge,United Kingdom,WESTERN EUROPE,644,28
366,Reece Molina,Redlands,South Africa,SUB-SAHARAN AFRICA,642,22
332,Kamal Blevins,Meerdonk,Cayman Islands,LATIN AMER. & CARIB,642,34
271,Devin Chen,Seevetal,Nepal,ASIA (EX. NEAR EAST),642,29
391,Kyle Gillespie,Yurzhnouralsk,Nepal,ASIA (EX. NEAR EAST),641,28
172,Rudyard Gay,Sombreffe,Libya,NORTHERN AFRICA,641,28
46,Kelly Lott,Akşehir,Somalia,SUB-SAHARAN AFRICA,640,33
123,Michael Harrington,Edmundston,Djibouti,SUB-SAHARAN AFRICA,640,28
317,Joel Stone,Henderson,Tanzania,SUB-SAHARAN AFRICA,637,29
119,Stewart Cain,Maria,Azerbaijan,C.W. OF IND. STATES,637,29
260,Erich Noble,Nizhny,Tonga,OCEANIA,637,33
202,Cadman Weeks,Karachev,British Virgin Is.,LATIN AMER. & CARIB,635,27
192,Chandler Tyson,Arequipa,Iraq,NEAR EAST,633,30
116,Chandler Perkins,Pincher Creek,Georgia,C.W. OF IND. STATES,633,27
262,Rafael Beasley,Santu Lussurgiu,Reunion,SUB-SAHARAN AFRICA,633,30
340,Leo Moran,Owerri,Dominica,LATIN AMER. & CARIB,633,31
131,Neville Ferguson,Sibi,Wallis and Futuna,OCEANIA,632,30
54,Myles Spence,Rochester,Solomon Islands,OCEANIA,631,24
212,Leonard Lindsey,Balfour,Ireland,WESTERN EUROPE,631,31
386,Ferdinand Campbell,Velsk,Kazakhstan,C.W. OF IND. STATES,628,22
186,Elijah Jacobson,C�rdoba,Malawi,SUB-SAHARAN AFRICA,628,30
